%time,field.header.seq,field.header.stamp,field.header.frame_id,42.33709335,-71.0898819,field.altitude,field.northing,field.easting,field.zone
1.58095E+18,242,1.58095E+18,,42.33701706,-71.08975983,-23.09999847,4689310.893,327843.6678,19T
1.58095E+18,243,1.58095E+18,,42.3370018,-71.08972168,-23,4689309.121,327846.7688,19T
1.58095E+18,244,1.58095E+18,,42.33699036,-71.08968353,-23,4689307.773,327849.8803,19T
1.58095E+18,245,1.58095E+18,,42.33699417,-71.08963776,-23.09999847,4689308.104,327853.662,19T
1.58095E+18,246,1.58095E+18,,42.3370018,-71.08959961,-23.09999847,4689308.874,327856.8255,19T
1.58095E+18,247,1.58095E+18,,42.33701706,-71.08956909,-23.09999847,4689310.507,327859.3813,19T
1.58095E+18,248,1.58095E+18,,42.33703995,-71.08953857,-23.09999847,4689312.986,327861.9579,19T
1.58095E+18,249,1.58095E+18,,42.33706665,-71.08952332,-23.19999886,4689315.921,327863.2879,19T
1.58095E+18,250,1.58095E+18,,42.33709717,-71.08951569,-23.09999847,4689319.294,327863.9997,19T
1.58095E+18,251,1.58095E+18,,42.33712769,-71.08951569,-23.19999886,4689322.683,327864.083,19T
1.58095E+18,252,1.58095E+18,,42.33715439,-71.08953094,-22.79999924,4689325.679,327862.8988,19T
1.58095E+18,253,1.58095E+18,,42.33717728,-71.08955383,-22.59999847,4689328.267,327861.0756,19T
1.58095E+18,254,1.58095E+18,,42.33719254,-71.08959198,-22.5,4689330.038,327857.9745,19T
1.58095E+18,255,1.58095E+18,,42.33720398,-71.08963013,-22.69999886,4689331.386,327854.863,19T
1.58095E+18,256,1.58095E+18,,42.33720779,-71.08966827,-22.79999924,4689331.887,327851.7307,19T
1.58095E+18,257,1.58095E+18,,42.33720016,-71.08970642,-23.09999847,4689331.117,327848.5672,19T
1.58095E+18,258,1.58095E+18,,42.33718872,-71.08974457,-23.29999924,4689329.924,327845.3933,19T
1.58095E+18,259,1.58095E+18,,42.33716965,-71.08977509,-23.5,4689327.867,327842.8271,19T
1.58095E+18,260,1.58095E+18,,42.33714294,-71.08979797,-23.69999886,4689324.949,327840.8686,19T
1.58095E+18,261,1.58095E+18,,42.33710861,-71.08981323,-23.69999886,4689321.167,327839.5178,19T
1.58095E+18,262,1.58095E+18,,42.33707809,-71.08981323,-23.59999847,4689317.778,327839.4345,19T
1.58095E+18,263,1.58095E+18,,42.33704758,-71.08979797,-23.5,4689314.359,327840.6083,19T
1.58095E+18,264,1.58095E+18,,42.33702087,-71.08977509,-23.29999924,4689311.347,327842.4211,19T
1.58095E+18,265,1.58095E+18,,42.3370018,-71.08974457,-23.09999847,4689309.168,327844.8832,19T
1.58095E+18,266,1.58095E+18,,42.33698654,-71.08970642,-23,4689307.396,327847.9843,19T
1.58095E+18,267,1.58095E+18,,42.33698273,-71.08966064,-22.89999962,4689306.88,327851.7451,19T
1.58095E+18,268,1.58095E+18,,42.33698654,-71.0896225,-22.89999962,4689307.226,327854.8983,19T
1.58095E+18,269,1.58095E+18,,42.3370018,-71.08958435,-22.79999924,4689308.843,327858.0826,19T
1.58095E+18,270,1.58095E+18,,42.33702087,-71.0895462,-22.69999886,4689310.884,327861.2774,19T
1.58095E+18,271,1.58095E+18,,42.33704758,-71.08952332,-22.69999886,4689313.803,327863.2359,19T
1.58095E+18,272,1.58095E+18,,42.33707809,-71.08951569,-22.79999924,4689317.176,327863.9477,19T
1.58095E+18,273,1.58095E+18,,42.33710861,-71.08950806,-23,4689320.549,327864.6595,19T
1.58095E+18,274,1.58095E+18,,42.33713913,-71.08952332,-23.19999886,4689323.969,327863.4857,19T
1.58095E+18,275,1.58095E+18,,42.33716583,-71.08953857,-23.29999924,4689326.965,327862.3014,19T
1.58095E+18,276,1.58095E+18,,42.33718872,-71.08956909,-23.5,4689329.568,327859.8497,19T
1.58095E+18,277,1.58095E+18,,42.33720398,-71.08961487,-23.59999847,4689331.355,327856.1201,19T
1.58095E+18,278,1.58095E+18,,42.33721161,-71.08965302,-23.79999924,4689332.28,327852.9982,19T
1.58095E+18,279,1.58095E+18,,42.33720779,-71.08969879,-23.89999962,4689331.949,327849.2166,19T
1.58095E+18,280,1.58095E+18,,42.33719254,-71.08973694,-24.09999847,4689330.332,327846.0322,19T
1.58095E+18,281,1.58095E+18,,42.33716965,-71.08977509,-24.19999886,4689327.867,327842.8271,19T
1.58095E+18,282,1.58095E+18,,42.33714294,-71.08979797,-24.29999924,4689324.949,327840.8686,19T
1.58095E+18,283,1.58095E+18,,42.3371048,-71.08981323,-24.29999924,4689320.744,327839.5074,19T
1.58095E+18,284,1.58095E+18,,42.33707047,-71.08981323,-23.79999924,4689316.931,327839.4137,19T
1.58095E+18,285,1.58095E+18,,42.33703995,-71.08979797,-23.59999847,4689313.512,327840.5875,19T
